Date,Time,CO mg/m3,8 hr roling avg
25/01/2011,10,0.1,0
25/01/2011,11,0.1,0.1
25/01/2011,12,0.1,0.1
25/01/2011,13,0.1,0.1
25/01/2011,14,0.1,0.1
25/01/2011,15,0.1,0.1
25/01/2011,16,0.1,0.1
25/01/2011,17,0.2,0.1
25/01/2011,18,0.2,0.1
25/01/2011,19,0.2,0.1
25/01/2011,20,0.1,0.1
25/01/2011,21,0.1,0.1
25/01/2011,22,0.1,0.1
25/01/2011,23,0.1,0.1
26/01/2011,0,0.1,0.1
26/01/2011,1,0.1,0.1
26/01/2011,2,0.1,0.1
26/01/2011,3,0,0.1
26/01/2011,4,0,0.1
26/01/2011,5,0,0
26/01/2011,6,0,0
26/01/2011,7,0,0
26/01/2011,8,0,0
26/01/2011,9,0,0
26/01/2011,10,0,0
26/01/2011,11,0,0
26/01/2011,12,0,0
26/01/2011,13,0,0
26/01/2011,14,0,0
26/01/2011,15,0,0
26/01/2011,16,0,0
26/01/2011,17,0.1,0
26/01/2011,18,0.1,0
26/01/2011,19,0.1,0
26/01/2011,20,0,0
26/01/2011,21,0,0
26/01/2011,22,0,0
26/01/2011,23,0,0
27/01/2011,0,0,0
27/01/2011,1,0,0
27/01/2011,2,0,0
27/01/2011,3,0,0
27/01/2011,4,0,0
27/01/2011,5,0,0
27/01/2011,6,0,0
27/01/2011,7,0,0
27/01/2011,8,0,0
27/01/2011,9,0,0
27/01/2011,10,0,0
27/01/2011,11,0,0
27/01/2011,12,0,0
27/01/2011,13,0,0
27/01/2011,14,0,0
27/01/2011,15,0.1,0
27/01/2011,16,0.1,0
27/01/2011,17,0.1,0.1
27/01/2011,18,0.1,0.1
27/01/2011,19,0.1,0.1
27/01/2011,20,0,0.1
27/01/2011,21,0,0.1
27/01/2011,22,0,0.1
27/01/2011,23,0,0.1
28/01/2011,0,0,0.1
28/01/2011,1,0,0
28/01/2011,2,0,0
28/01/2011,3,0,0
28/01/2011,4,0,0
28/01/2011,5,0,0
28/01/2011,6,0,0
28/01/2011,7,0,0
28/01/2011,8,0.1,0
28/01/2011,9,0.1,0
28/01/2011,10,0,0
28/01/2011,11,0,0
28/01/2011,12,0.1,0.1
28/01/2011,13,0.1,0.1
28/01/2011,14,0.1,0.1
28/01/2011,15,0,0.1
28/01/2011,16,0.1,0.1
28/01/2011,17,0.1,0.1
28/01/2011,18,0.1,0.1
28/01/2011,19,0.1,0.1
28/01/2011,20,0.1,0.1
28/01/2011,21,0.1,0.1
28/01/2011,22,0.1,0.1
28/01/2011,23,0.1,0.1
29/01/2011,0,0.1,0.1
29/01/2011,1,0,0.1
29/01/2011,2,0,0.1
29/01/2011,3,0,0.1
29/01/2011,4,0,0
29/01/2011,5,0,0
29/01/2011,6,0,0
29/01/2011,7,0,0
29/01/2011,8,0,0
29/01/2011,9,0,0
29/01/2011,10,0,0
29/01/2011,11,0,0
29/01/2011,12,0,0
29/01/2011,13,0,0
29/01/2011,14,0,0
29/01/2011,15,0,0
29/01/2011,16,0,0
29/01/2011,17,0,0
29/01/2011,18,0,0
29/01/2011,19,0.1,0
29/01/2011,20,0.1,0
29/01/2011,21,0.1,0.1
29/01/2011,22,0.1,0.1
29/01/2011,23,0.1,0.1
30/01/2011,0,0,0.1
30/01/2011,1,0,0.1
30/01/2011,2,0,0.1
30/01/2011,3,0,0.1
30/01/2011,4,0,0.1
30/01/2011,5,0,0
30/01/2011,6,0.1,0.1
30/01/2011,7,0.1,0.1
30/01/2011,8,0.1,0.1
30/01/2011,9,0.1,0.1
30/01/2011,10,0.1,0.1
30/01/2011,11,0,0.1
30/01/2011,12,0,0.1
30/01/2011,13,0,0.1
30/01/2011,14,0,0.1
30/01/2011,15,0,0
30/01/2011,16,0,0
30/01/2011,17,0,0
30/01/2011,18,0.1,0
30/01/2011,19,0.1,0
30/01/2011,20,0.1,0.1
30/01/2011,21,0.2,0.1
30/01/2011,22,0.3,0.1
30/01/2011,23,0.4,0.2
31/01/2011,0,0.4,0.2
31/01/2011,1,0.2,0.2
31/01/2011,2,0.2,0.2
31/01/2011,3,0.1,0.2
31/01/2011,4,0.2,0.2
31/01/2011,5,0.2,0.2
31/01/2011,6,0.3,0.2
31/01/2011,7,0.3,0.2
31/01/2011,8,0.5,0.3
31/01/2011,9,1,0.4
31/01/2011,10,1.2,0.5
31/01/2011,11,1,0.6
31/01/2011,12,0.1,0.6
31/01/2011,13,0,0.6
31/01/2011,14,0.1,0.5
31/01/2011,15,0,0.5
31/01/2011,16,0.1,0.4
31/01/2011,17,0,0.3
31/01/2011,18,0.1,0.2
31/01/2011,19,0,0.1
31/01/2011,20,0,0
31/01/2011,21,0,0
31/01/2011,22,0,0
31/01/2011,23,0,0
1/2/2011,0,0,0
1/2/2011,1,0,0
1/2/2011,2,0,0
1/2/2011,3,0,0
1/2/2011,4,0,0
1/2/2011,5,0,0
1/2/2011,6,0,0
1/2/2011,7,0.1,0.3
1/2/2011,8,0.1,0.3
1/2/2011,9,0.1,0.4
1/2/2011,10,0.1,0.4
1/2/2011,11,0.1,0.4
1/2/2011,12,0.1,0.4
1/2/2011,13,0.1,0.4
1/2/2011,14,0.1,0.4
1/2/2011,15,0.1,0.4
1/2/2011,16,0.1,0.4
1/2/2011,17,0.1,0.5
1/2/2011,18,0.2,0.5
1/2/2011,19,0.2,0.6
1/2/2011,20,0.1,0.5
1/2/2011,21,0.1,0.5
1/2/2011,22,0.1,0.5
1/2/2011,23,0.1,0.5
2/2/2011,0,0,0.5
2/2/2011,1,0,0.4
2/2/2011,2,0,0.4
2/2/2011,3,0,0.3
2/2/2011,4,0,0.3
2/2/2011,5,0,0.3
2/2/2011,6,0,0.3
2/2/2011,7,0,0.3
2/2/2011,8,0,0.3
2/2/2011,9,0.1,0.3
2/2/2011,10,0.1,0.3
2/2/2011,11,0,0.4
2/2/2011,12,CAL,0.4
2/2/2011,13,0.2,0.4
2/2/2011,14,0.2,0.4
2/2/2011,15,0.2,0.4
2/2/2011,16,0.2,0.4
2/2/2011,17,0.2,0.4
2/2/2011,18,0.2,0.4
2/2/2011,19,0.1,0.4
2/2/2011,20,0.1,0.4
2/2/2011,21,0.1,0.4
2/2/2011,22,0.1,0.4
2/2/2011,23,0.1,0.4
3/2/2011,0,0.1,0.3
3/2/2011,1,0.1,0.3
3/2/2011,2,0.1,0.3
3/2/2011,3,0.1,0.3
3/2/2011,4,0.1,0.3
3/2/2011,5,0.1,0.3
3/2/2011,6,0.1,0.3
3/2/2011,7,0.1,0.3
3/2/2011,8,0.1,0.4
3/2/2011,9,0.2,0.4
3/2/2011,10,0.2,0.4
3/2/2011,11,0.2,0.4
3/2/2011,12,0.1,0.5
3/2/2011,13,0.1,0.5
3/2/2011,14,0.1,0.5
3/2/2011,15,0.2,0.5
3/2/2011,16,0.2,0.4
3/2/2011,17,0.2,0.4
3/2/2011,18,0.2,0.4
3/2/2011,19,0.2,0.4
3/2/2011,20,0.2,0.4
3/2/2011,21,0.2,0.4
3/2/2011,22,0.2,0.4
3/2/2011,23,0.2,0.4
4/2/2011,0,0.2,0.4
4/2/2011,1,0.2,0.4
4/2/2011,2,0.2,0.4
4/2/2011,3,0.2,0.4
4/2/2011,4,0.2,0.3
4/2/2011,5,0.2,0.3
4/2/2011,6,0.2,0.3
4/2/2011,7,0.2,0.3
4/2/2011,8,0.2,0.4
4/2/2011,9,0.2,0.4
4/2/2011,10,0.2,0.4
4/2/2011,11,0.2,0.4
4/2/2011,12,0.2,0.4
4/2/2011,13,0.2,0.4
4/2/2011,14,0.2,0.5
4/2/2011,15,0.2,0.5
4/2/2011,16,0.2,0.5
4/2/2011,17,0.2,0.5
4/2/2011,18,0.2,0.5
4/2/2011,19,0.2,0.5
4/2/2011,20,0.2,0.5
4/2/2011,21,0.2,0.5
4/2/2011,22,0.2,0.5
4/2/2011,23,0.2,0.4
5/2/2011,0,0.2,0.4
5/2/2011,1,0.2,0.4
5/2/2011,2,0.2,0.4
5/2/2011,3,0.2,0.4
5/2/2011,4,0.2,0.4
5/2/2011,5,0.2,0.4
5/2/2011,6,0.2,0.4
5/2/2011,7,0.2,0.5
5/2/2011,8,0.2,0.5
5/2/2011,9,0.2,0.5
5/2/2011,10,0.2,0.5
5/2/2011,11,0.2,0.5
5/2/2011,12,0.2,0.5
5/2/2011,13,0.2,0.6
5/2/2011,14,0.2,0.5
5/2/2011,15,0.2,0.5
5/2/2011,16,0.2,0.6
5/2/2011,17,0.2,0.6
5/2/2011,18,0.3,0.6
5/2/2011,19,0.3,0.7
5/2/2011,20,0.3,0.8
5/2/2011,21,0.3,0.8
5/2/2011,22,0.3,0.8
5/2/2011,23,0.2,0.8
6/2/2011,0,0.2,0.8
6/2/2011,1,0.2,0.7
6/2/2011,2,0.3,0.7
6/2/2011,3,0.2,0.6
6/2/2011,4,0.2,0.6
6/2/2011,5,0.2,0.5
6/2/2011,6,0.2,0.5
6/2/2011,7,0.2,0.5
6/2/2011,8,0.2,0.5
6/2/2011,9,0.1,0.4
6/2/2011,10,0.2,0.4
6/2/2011,11,0.2,0.4
6/2/2011,12,0.2,0.4
6/2/2011,13,0.2,0.4
6/2/2011,14,0.2,0.4
6/2/2011,15,0.2,0.4
6/2/2011,16,0.2,0.4
6/2/2011,17,0.2,0.4
6/2/2011,18,0.2,0.5
6/2/2011,19,0.2,0.5
6/2/2011,20,0.3,0.6
6/2/2011,21,0.2,0.6
